DateLocal,T,WindDir,WindSpd,RH,P,City
2019-04-09 12:00:00,58.6800003051758,275.001007080078,5.75,89,1004.59002685547,Washington DC.
2019-04-09 15:00:00,67.0199966430664,302.003997802734,6.96000003814697,70,1004.27001953125,Washington DC.
2019-04-09 18:00:00,71.4599990844727,285.5,10,53,1002.71997070313,Washington DC.
2019-04-09 21:00:00,72.2699966430664,285,13.7799997329712,44,1001.22998046875,Washington DC.
2019-04-10 00:00:00,64.6800003051758,307.502014160156,14.289999961853,43,1003.5,Washington DC.
2019-04-10 03:00:00,57.2700004577637,317.501007080078,12.0100002288818,47,1006.78997802734,Washington DC.
2019-04-10 06:00:00,52.4799995422363,316.502014160156,7.96000003814697,52,1008.44000244141,Washington DC.
2019-04-10 09:00:00,49.3199996948242,299.502014160156,7.65000009536743,61,1008.96997070313,Washington DC.
2019-04-10 12:00:00,50.7700004577637,335,7.28999996185303,63,1011.5,Washington DC.
2019-04-10 15:00:00,56.8800010681152,319.506011962891,9.75,49,1012.59002685547,Washington DC.
2019-04-10 18:00:00,61.4900016784668,311,9.72999954223633,40,1011.96002197266,Washington DC.
2019-04-10 21:00:00,63.9199981689453,307.502990722656,9.85999965667725,34,1011.47998046875,Washington DC.
2019-04-11 00:00:00,58.0699996948242,317,6.17000007629395,39,1012.80999755859,Washington DC.
2019-04-11 03:00:00,50.0200004577637,6.50475978851318,4.82999992370605,54,1015.21997070313,Washington DC.
2019-04-11 06:00:00,46.2900009155273,54.0013008117676,2.36999988555908,68,1016.29998779297,Washington DC.
2019-04-11 09:00:00,46.2299995422363,44.503101348877,2.83999991416931,67,1016.71997070313,Washington DC.
2019-04-11 12:00:00,49.9700012207031,133.501007080078,6.17000007629395,59,1017.97998046875,Washington DC.
2019-04-11 15:00:00,60.4099998474121,176.501007080078,6.53000020980835,49,1018.88000488281,Washington DC.
2019-04-11 18:00:00,68.1999969482422,167.001007080078,10.0699996948242,38,1017.5,Washington DC.
2019-04-11 21:00:00,69.4000015258789,166.501007080078,11.4300003051758,39,1016.19000244141,Washington DC.
2019-04-12 00:00:00,65.0199966430664,158.003005981445,11.8800001144409,47,1016.03002929688,Washington DC.
2019-04-12 03:00:00,62.5499992370605,160.003005981445,12.1000003814697,55,1016.02001953125,Washington DC.
2019-04-12 06:00:00,61.8499984741211,170.5,12.4099998474121,58,1015.08001708984,Washington DC.
2019-04-12 09:00:00,61.1199989318848,171.501998901367,10.7399997711182,64,1013.80999755859,Washington DC.
2019-04-12 12:00:00,62.9000015258789,168.003997802734,12.7700004577637,72,1012.20001220703,Washington DC.
2019-04-12 15:00:00,64.7200012207031,174,14.6999998092651,80,1010.44000244141,Washington DC.
2019-04-12 18:00:00,70.1999969482422,193.001007080078,15.6800003051758,67,1008.22998046875,Washington DC.
2019-04-07 21:00:00,61.6599998474121,175.001998901367,8.21000003814697,53,1022.36999511719,New York
2019-04-08 00:00:00,56.3499984741211,170.5,8.52000045776367,64,1021.45001220703,New York
2019-04-08 03:00:00,53.560001373291,181.003005981445,8.07999992370605,69,1020.58001708984,New York
2019-04-08 06:00:00,51.5499992370605,170.50700378418,7.19999980926514,74,1018.71002197266,New York
2019-04-08 09:00:00,48.2999992370605,163.507995605469,7.78000020980835,91,1016,New York
2019-04-08 12:00:00,49.7099990844727,182.501007080078,8.75,93,1013.64001464844,New York
2019-04-08 15:00:00,54.5900001525879,192.001998901367,7.09000015258789,86,1011.5,New York
2019-04-08 18:00:00,63.2000007629395,206.009002685547,6.96000003814697,75,1008.34002685547,New York
2019-04-08 21:00:00,64.0699996948242,246.001998901367,6.73000001907349,74,1006.64001464844,New York
2019-04-09 00:00:00,60.4500007629395,236.503005981445,7.17999982833862,80,1006.75,New York
2019-04-09 03:00:00,56.8600006103516,245.501998901367,6.6399998664856,88,1007.39001464844,New York
2019-04-09 06:00:00,51.7200012207031,247.009994506836,2.48000001907349,88,1006.02001953125,New York
2019-04-09 09:00:00,50,283.506011962891,1.5900000333786,88,1004.55999755859,New York
2019-04-09 12:00:00,52.560001373291,189.501007080078,2.17000007629395,92,1003.66998291016,New York
2019-04-09 15:00:00,59.4599990844727,57.0041999816895,4.71999979019165,77,1002.51000976563,New York
2019-04-09 18:00:00,60.1199989318848,106,6.76000022888184,72,1000.64001464844,New York
2019-04-09 21:00:00,55.1699981689453,129,5.17000007629395,78,998.789978027344,New York
2019-04-10 00:00:00,51.7200012207031,136.001998901367,2.32999992370605,86,999.419982910156,New York
2019-04-10 03:00:00,50.9700012207031,298.501007080078,9.55000019073486,64,1001.90997314453,New York
2019-04-10 06:00:00,48.4300003051758,297.002014160156,9.75,62,1003.64001464844,New York
2019-04-10 09:00:00,46.3499984741211,298.002014160156,8.43000030517578,64,1004.77001953125,New York
2019-04-10 12:00:00,46.9000015258789,309.5,8.85999965667725,65,1007.61999511719,New York
2019-04-10 15:00:00,50.7599983215332,327.506011962891,8.75,62,1009.39001464844,New York
2019-04-10 18:00:00,53.2999992370605,319,6.38000011444092,59,1010.03997802734,New York
2019-04-10 21:00:00,54.2000007629395,304.502990722656,5.3899998664856,55,1010.88000488281,New York
2019-04-11 00:00:00,50.060001373291,317,4.38000011444092,55,1012.69000244141,New York
2019-04-11 03:00:00,45.5200004577637,350.505004882813,6.28999996185303,62,1015.5,New York
2019-04-11 06:00:00,43.1399993896484,22.5013008117676,5.5,68,1017.29998779297,New York
2019-04-11 09:00:00,40.9199981689453,31.5030994415283,6.19999980926514,75,1019,New York
2019-04-11 12:00:00,43.1300010681152,43.0009002685547,6.17000007629395,69,1020.85998535156,New York
2019-04-11 15:00:00,50.3300018310547,72.0012969970703,4.73999977111816,61,1022.15997314453,New York
2019-04-11 18:00:00,52.0900001525879,115.000999450684,5.36999988555908,59,1021.53997802734,New York
2019-04-11 21:00:00,53.0099983215332,142.501007080078,6.17000007629395,58,1020.83001708984,New York
2019-04-12 00:00:00,49.2700004577637,133.003005981445,5.17000007629395,64,1020.63000488281,New York
2019-04-12 03:00:00,46.7099990844727,115.002998352051,4.26999998092651,75,1020.65997314453,New York
2019-04-12 06:00:00,44.2999992370605,135,2.91000008583069,88,1019.47998046875,New York
2019-04-12 09:00:00,45.189998626709,151.001998901367,5.48000001907349,90,1018.25,New York
2019-04-12 12:00:00,50.4799995422363,156.503997802734,7.17999982833862,88,1016.96002197266,New York
2019-04-12 15:00:00,57.9700012207031,168,11.6800003051758,72,1015,New York
2019-04-12 18:00:00,57.5099983215332,177.001007080078,15.8999996185303,88,1012.39001464844,New York
2019-04-07 21:00:00,68.6800003051758,198.501998901367,8.21000003814697,47,1021.16998291016,Philadelphia
2019-04-08 00:00:00,62.7400016784668,180,8.63000011444092,50,1020.48999023438,Philadelphia
2019-04-08 03:00:00,58.0800018310547,171.503005981445,8.75,52,1019.53997802734,Philadelphia
2019-04-08 06:00:00,55.689998626709,181.50700378418,8.65999984741211,67,1017.75,Philadelphia
2019-04-08 09:00:00,53.4300003051758,183.507995605469,9.84000015258789,95,1014.52001953125,Philadelphia
2019-04-08 12:00:00,55.3800010681152,195.501007080078,7.84999990463257,95,1012.76000976563,Philadelphia
2019-04-08 15:00:00,64.8499984741211,220.501998901367,8.65999984741211,86,1011.09997558594,Philadelphia
2019-04-08 18:00:00,73.1900024414063,238.509002685547,10.0900001525879,72,1008.61999511719,Philadelphia
2019-04-08 21:00:00,66.3199996948242,282.002014160156,7.73999977111816,93,1007.47998046875,Philadelphia
2019-04-09 00:00:00,60.9000015258789,263.502990722656,5.73000001907349,94,1007.71002197266,Philadelphia
2019-04-09 03:00:00,58.0299987792969,269.502014160156,4.96999979019165,94,1007.90997314453,Philadelphia
2019-04-09 06:00:00,53.9700012207031,261.510009765625,2.54999995231628,88,1006.26000976563,Philadelphia
2019-04-09 09:00:00,55.5800018310547,205.005996704102,4.71999979019165,92,1004.44000244141,Philadelphia
2019-04-09 12:00:00,58.5,256.501007080078,3.74000000953674,95,1003.42999267578,Philadelphia
2019-04-09 15:00:00,67.0199966430664,287.003997802734,4.5,89,1002.63000488281,Philadelphia
2019-04-09 18:00:00,71.8199996948242,272,8.10000038146973,60,1000.20001220703,Philadelphia
2019-04-09 21:00:00,71.9100036621094,268.5,12.3299999237061,49,998.549987792969,Philadelphia
2019-04-10 00:00:00,62.7000007629395,290.502014160156,13.960000038147,40,1000.65997314453,Philadelphia
2019-04-10 03:00:00,54.5699996948242,303.001007080078,13.2399997711182,42,1004.07000732422,Philadelphia
2019-04-10 06:00:00,49.9599990844727,297.502014160156,10.1999998092651,44,1005.79998779297,Philadelphia
2019-04-10 09:00:00,47.6100006103516,299.002014160156,9.55000019073486,47,1006.57000732422,Philadelphia
2019-04-10 12:00:00,47.9799995422363,312.5,10.3100004196167,46,1009.26000976563,Philadelphia
2019-04-10 15:00:00,54.0900001525879,320.006011962891,9.42000007629395,44,1010.51000976563,Philadelphia
2019-04-10 18:00:00,59.1500015258789,310.5,8.27999973297119,40,1010.55999755859,Philadelphia
2019-04-10 21:00:00,60.2299995422363,310.002990722656,7.73999977111816,36,1011.03997802734,Philadelphia
2019-04-11 00:00:00,53.3899993896484,307.5,4.05000019073486,40,1012.77001953125,Philadelphia
2019-04-11 03:00:00,44.3499984741211,359.505004882813,2.52999997138977,66,1015.14001464844,Philadelphia
2019-04-11 06:00:00,41.0699996948242,43.5013008117676,6.17000007629395,63,1016.58001708984,Philadelphia
2019-04-11 09:00:00,42.6300010681152,49.503101348877,6.42000007629395,56,1018.20001220703,Philadelphia
2019-04-11 12:00:00,45.8300018310547,65.0009002685547,7.63000011444092,51,1019.73999023438,Philadelphia
2019-04-11 15:00:00,57.8899993896484,92.0012969970703,6.6399998664856,44,1020.71997070313,Philadelphia
2019-04-11 18:00:00,63.7900009155273,155.501007080078,7.71999979019165,40,1019.58001708984,Philadelphia
2019-04-11 21:00:00,66.0599975585938,171.001007080078,9.1899995803833,38,1018.39001464844,Philadelphia
2019-04-12 00:00:00,61.5999984741211,168.503005981445,10.6499996185303,41,1018.34997558594,Philadelphia
2019-04-12 03:00:00,58.5,173.003005981445,9.97999954223633,57,1018.78002929688,Philadelphia
2019-04-12 06:00:00,58.6100006103516,182.5,10.7399997711182,64,1017.76000976563,Philadelphia
2019-04-12 09:00:00,58.8699989318848,184.501998901367,11.4099998474121,70,1016.53002929688,Philadelphia
2019-04-12 12:00:00,61.0999984741211,176.503997802734,13,74,1014.91998291016,Philadelphia
2019-04-12 15:00:00,62.0200004577637,181.5,15.2600002288818,92,1013.15997314453,Philadelphia
2019-04-12 18:00:00,63.4500007629395,182.501007080078,17.0200004577637,94,1010.15002441406,Philadelphia
2019-04-07 21:00:00,80.870002746582,246.001998901367,2.27999997138977,31,1019.65002441406,Los Angeles
2019-04-08 00:00:00,80.9800033569336,236,2.36999988555908,29,1017.96997070313,Los Angeles
2019-04-08 03:00:00,67.0500030517578,230.503005981445,1.91999995708466,49,1018.70001220703,Los Angeles
2019-04-08 06:00:00,56.3899993896484,14.5069999694824,2.17000007629395,68,1019.46997070313,Los Angeles
2019-04-08 09:00:00,52.5299987792969,20.007999420166,2.34999990463257,55,1019.11999511719,Los Angeles
2019-04-08 12:00:00,52.1399993896484,13.0009002685547,2.48000001907349,53,1018.84002685547,Los Angeles
2019-04-08 15:00:00,60.0800018310547,26.5020999908447,3.74000000953674,39,1019.46002197266,Los Angeles
2019-04-08 18:00:00,78.7699966430664,270.509002685547,1.5900000333786,28,1019.26000976563,Los Angeles
2019-04-08 21:00:00,84.1399993896484,220.501998901367,2.9300000667572,24,1017.35998535156,Los Angeles
2019-04-09 00:00:00,81.7799987792969,224.503005981445,3.38000011444092,23,1016.07000732422,Los Angeles
2019-04-09 03:00:00,67.2099990844727,202.001998901367,1.95000004768372,39,1016.42999267578,Los Angeles
2019-04-09 06:00:00,56.0400009155273,79.010498046875,2.03999996185303,61,1017.17999267578,Los Angeles
2019-04-09 09:00:00,52.3400001525879,90.5063018798828,2.07999992370605,67,1016.35998535156,Los Angeles
2019-04-09 12:00:00,49.3199996948242,91.0008010864258,0.939999997615814,76,1015.71002197266,Los Angeles
2019-04-09 15:00:00,56.1300010681152,66.5042037963867,0.579999983310699,64,1016.15002441406,Los Angeles
2019-04-09 18:00:00,73.4400024414063,218,2.05999994277954,37,1015.20001220703,Los Angeles
2019-04-09 21:00:00,76.4100036621094,228.5,3.59999990463257,35,1012.98999023438,Los Angeles
2019-04-10 00:00:00,69.9000015258789,333.002014160156,7.01999998092651,31,1012.38000488281,Los Angeles
2019-04-10 03:00:00,57.5400009155273,339.001007080078,9.22000026702881,25,1014.63000488281,Los Angeles
2019-04-10 06:00:00,52.75,338.502014160156,9.52999973297119,26,1016.47998046875,Los Angeles
2019-04-10 09:00:00,55.9799995422363,355.502014160156,7.65000009536743,27,1017.21002197266,Los Angeles
2019-04-10 12:00:00,52.9300003051758,1.00046002864838,5.73000001907349,29,1018.65997314453,Los Angeles
2019-04-10 15:00:00,54.1800003051758,357.006011962891,4.38000011444092,30,1020.54998779297,Los Angeles
2019-04-10 18:00:00,65.8099975585938,359.5,3.01999998092651,23,1020.15997314453,Los Angeles
2019-04-10 21:00:00,72.1999969482422,337.502990722656,4.26999998092651,18,1018.15997314453,Los Angeles
2019-04-11 00:00:00,70.5800018310547,333,7.07000017166138,15,1016.48999023438,Los Angeles
2019-04-11 03:00:00,61.9900016784668,342.505004882813,7.23000001907349,17,1016.97998046875,Los Angeles
2019-04-11 06:00:00,56.189998626709,357.001007080078,5.5,24,1018.14001464844,Los Angeles
2019-04-11 09:00:00,49.0200004577637,9.5031099319458,3.1800000667572,41,1017.47998046875,Los Angeles
2019-04-11 12:00:00,43.310001373291,14.0009002685547,2.25999999046326,56,1016.85998535156,Los Angeles
